Feature,Importance
original_glcm_JointEnergy,0.0012346306209611
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.0012277215208002
lbp-2D_gldm_DependenceNonUniformityNormalized,0.0012132066432689
log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.0012106611170638
lbp-3D-m2_firstorder_Energy,0.0012073371320765
logarithm_glszm_LargeAreaEmphasis,0.0012066533686378
wavelet-LHL_glcm_JointEnergy,0.0012045787913668
lbp-3D-k_gldm_SmallDependenceLowGrayLevelEmphasis,0.0011971685805872
wavelet-HHH_firstorder_Range,0.0011969687952772
log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.0011962692725562
original_gldm_HighGrayLevelEmphasis,0.0011859843049634
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,0.0011823272710122
wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,0.0011822094508951
wavelet-LHH_firstorder_Skewness,0.0011817834478535
gradient_glszm_HighGrayLevelZoneEmphasis,0.0011775784533199
log-sigma-5-0-mm-3D_gldm_DependenceNonUniformity,0.0011744858048067
squareroot_glszm_LargeAreaHighGrayLevelEmphasis,0.0011727383477446
wavelet-LHH_ngtdm_Coarseness,0.0011686572257432
lbp-3D-k_ngtdm_Contrast,0.0011668924134118
wavelet-LHL_firstorder_InterquartileRange,0.0011660662507042
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0011621334688547
log-sigma-3-0-mm-3D_glszm_GrayLevelNonUniformity,0.0011613339956494
log-sigma-3-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0011602970769637
wavelet-HHH_glcm_MaximumProbability,0.0011597510956053
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.0011574611903572
log-sigma-1-0-mm-3D_firstorder_90Percentile,0.0011568478553392
wavelet-LLL_firstorder_Uniformity,0.0011480509149715
exponential_glrlm_RunEntropy,0.0011475879958809
log-sigma-5-0-mm-3D_glrlm_LongRunEmphasis,0.0011470674476081
wavelet-HHH_glcm_JointAverage,0.0011461725998107
wavelet-LHL_glcm_InverseVariance,0.0011414765200383
wavelet-LHH_glcm_SumAverage,0.0011335484632815
wavelet-LHH_glcm_Imc2,0.0011320163258287
log-sigma-2-0-mm-3D_glcm_Idn,0.0011289184117272
log-sigma-2-0-mm-3D_glcm_Id,0.0011271080618401
wavelet-HLH_firstorder_Entropy,0.0011136542916395
wavelet-LHH_glcm_Contrast,0.0011135160546223
wavelet-LHL_gldm_DependenceNonUniformity,0.0011123514396968
lbp-3D-k_glrlm_ShortRunHighGrayLevelEmphasis,0.0011109558085595
wavelet-LHL_firstorder_Range,0.0011090425303351
wavelet-HLH_glcm_Idm,0.0011083909823933
wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.0011018393196889
lbp-3D-k_firstorder_90Percentile,0.0010993345149308
log-sigma-4-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.0010952484544261
